Date,Series,Value
2017-01-01,Average Tone,-1.8996
2017-01-02,Average Tone,-1.5357
2017-01-03,Average Tone,-1.2673
2017-01-04,Average Tone,-1.1068
2017-01-05,Average Tone,-0.8721
2017-01-06,Average Tone,-1.1043
2017-01-07,Average Tone,-1.3213
2017-01-08,Average Tone,-1.3639
2017-01-09,Average Tone,-0.8224
2017-01-10,Average Tone,-0.5876
2017-01-11,Average Tone,-1.1655
2017-01-12,Average Tone,-1.1157
2017-01-13,Average Tone,-1.1402
2017-01-14,Average Tone,-1.1392
2017-01-15,Average Tone,-0.9851
2017-01-16,Average Tone,-0.9291
2017-01-17,Average Tone,-0.7348
2017-01-18,Average Tone,-0.6611
2017-01-19,Average Tone,-0.4005
2017-01-20,Average Tone,-0.7069
2017-01-21,Average Tone,-0.6476
2017-01-22,Average Tone,-0.8015
2017-01-23,Average Tone,-0.7376
2017-01-24,Average Tone,-0.3272
2017-01-25,Average Tone,-0.3638
2017-01-26,Average Tone,-0.5312
2017-01-27,Average Tone,-0.3545
2017-01-28,Average Tone,-0.7734
2017-01-29,Average Tone,-1.1932
2017-01-30,Average Tone,-1.3499
2017-01-31,Average Tone,-1.3454
2017-02-01,Average Tone,-0.9855
2017-02-02,Average Tone,-1.0363
2017-02-03,Average Tone,-1.2104
2017-02-04,Average Tone,-1.3776
2017-02-05,Average Tone,-1.6751
2017-02-06,Average Tone,-0.7974
2017-02-07,Average Tone,-1.6917
2017-02-08,Average Tone,-1.5837
2017-02-09,Average Tone,-1.2244
2017-02-10,Average Tone,-0.6699
2017-02-11,Average Tone,-0.9455
2017-02-12,Average Tone,-1.0272
2017-02-13,Average Tone,-1.0731
2017-02-14,Average Tone,-1.4822
2017-02-15,Average Tone,-1.3438
2017-02-16,Average Tone,-0.7305
2017-02-17,Average Tone,-1.0905
2017-02-18,Average Tone,-1.3055
2017-02-19,Average Tone,-1.4451
2017-02-20,Average Tone,-0.8703
2017-02-21,Average Tone,-0.6309
2017-02-22,Average Tone,-0.6638
2017-02-23,Average Tone,-1.1068
2017-02-24,Average Tone,-0.9379
2017-02-25,Average Tone,-1.7237
2017-02-26,Average Tone,-0.8623
2017-02-27,Average Tone,-0.5508
2017-02-28,Average Tone,-1.107
2017-03-01,Average Tone,-1.0509
2017-03-02,Average Tone,-0.8093
2017-03-03,Average Tone,-1.551
2017-03-04,Average Tone,-1.3699
2017-03-05,Average Tone,-1.147
2017-03-06,Average Tone,-1.2411
2017-03-07,Average Tone,-1.4819
2017-03-08,Average Tone,-1.3656
2017-03-09,Average Tone,-1.4695
2017-03-10,Average Tone,-2.1481
2017-03-11,Average Tone,-1.7607
2017-03-12,Average Tone,-1.329
2017-03-13,Average Tone,-1.5286
2017-03-14,Average Tone,-1.1425
2017-03-15,Average Tone,-1.0389
2017-03-16,Average Tone,-0.7228
2017-03-17,Average Tone,-0.904
2017-03-18,Average Tone,-1.3241
2017-03-19,Average Tone,-0.6313
2017-03-20,Average Tone,-0.76
2017-03-21,Average Tone,-0.6523
2017-03-22,Average Tone,-1.2027
2017-03-23,Average Tone,-1.163
2017-03-24,Average Tone,-0.7246
2017-03-25,Average Tone,-1.1784
2017-03-26,Average Tone,-1.3318
2017-03-27,Average Tone,-1.1015
2017-03-28,Average Tone,-0.8965
2017-03-29,Average Tone,-1.0936
2017-03-30,Average Tone,-1.2313
2017-03-31,Average Tone,-1.3252
2017-04-01,Average Tone,-1.8655
2017-04-02,Average Tone,-1.9631
2017-04-03,Average Tone,-1.0909
2017-04-04,Average Tone,-1.7881
2017-04-05,Average Tone,-1.3821
2017-04-06,Average Tone,-1.2494
2017-04-07,Average Tone,-1.4045
2017-04-08,Average Tone,-0.6798
2017-04-09,Average Tone,-1.9021
2017-04-10,Average Tone,-0.6278
2017-04-11,Average Tone,-2.0695
2017-04-12,Average Tone,-2.2203
2017-04-13,Average Tone,-1.5582
2017-04-14,Average Tone,-2.1131
2017-04-15,Average Tone,-2.1977
2017-04-16,Average Tone,-1.6225
2017-04-17,Average Tone,-1.2262
2017-04-18,Average Tone,-0.759
2017-04-19,Average Tone,-1.0331
2017-04-20,Average Tone,-1.1015
2017-04-21,Average Tone,-1.5302
2017-04-22,Average Tone,-1.3721
2017-04-23,Average Tone,-1.9729
2017-04-24,Average Tone,-1.3067
2017-04-25,Average Tone,-1.6829
2017-04-26,Average Tone,-0.9723
2017-04-27,Average Tone,-1.0969
2017-04-28,Average Tone,-1.2307
2017-04-29,Average Tone,-1.8308
2017-04-30,Average Tone,-1.1267
2017-05-01,Average Tone,-1.3642
2017-05-02,Average Tone,-1.2539
2017-05-03,Average Tone,-1.173
2017-05-04,Average Tone,-0.9078
2017-05-05,Average Tone,-0.9532
2017-05-06,Average Tone,-1.3186
2017-05-07,Average Tone,-1.2076
2017-05-08,Average Tone,-0.8386
2017-05-09,Average Tone,-0.8864
2017-05-10,Average Tone,-0.6348
2017-05-11,Average Tone,-0.4889
2017-05-12,Average Tone,-1.0155
2017-05-13,Average Tone,-1.4443
2017-05-14,Average Tone,-0.4002
2017-05-15,Average Tone,-1.4817
2017-05-16,Average Tone,-1.0944
2017-05-17,Average Tone,-0.8802
2017-05-18,Average Tone,-0.9808
2017-05-19,Average Tone,-1.1996
2017-05-20,Average Tone,-1.0383
2017-05-21,Average Tone,-1.053
2017-05-22,Average Tone,-1.055
2017-05-23,Average Tone,-0.8796
2017-05-24,Average Tone,-1.7189
2017-05-25,Average Tone,-1.0388
2017-05-26,Average Tone,-1.0801
2017-05-27,Average Tone,-0.9143
2017-05-28,Average Tone,-1.3698
2017-05-29,Average Tone,-1.5709
2017-05-30,Average Tone,-0.7548
2017-05-31,Average Tone,-1.1851
2017-06-01,Average Tone,-0.7367
2017-06-02,Average Tone,-0.8099
2017-06-03,Average Tone,-1.0309
2017-06-04,Average Tone,-1.6165
2017-06-05,Average Tone,-1.1085
2017-06-06,Average Tone,-1.0572
2017-06-07,Average Tone,-0.855
2017-06-08,Average Tone,-0.8483
2017-06-09,Average Tone,-1.0222
2017-06-10,Average Tone,-0.8521
2017-06-11,Average Tone,-1.1894
2017-06-12,Average Tone,-0.9313
2017-06-13,Average Tone,-1.1697
2017-06-14,Average Tone,-1.3133
2017-06-15,Average Tone,-1.2941
2017-06-16,Average Tone,-1.34
2017-06-17,Average Tone,-1.1568
2017-06-18,Average Tone,-1.0237
2017-06-19,Average Tone,-0.7127
2017-06-20,Average Tone,-0.7967
2017-06-21,Average Tone,-0.6478
2017-06-22,Average Tone,-0.7661
2017-06-23,Average Tone,-0.8407
2017-06-24,Average Tone,-1.3592
2017-06-25,Average Tone,-0.8628
2017-06-26,Average Tone,-1.4491
2017-06-27,Average Tone,-1.4332
2017-06-28,Average Tone,-1.6428
2017-06-29,Average Tone,-1.6954
2017-06-30,Average Tone,-1.641
2017-07-01,Average Tone,-2.1284
2017-07-02,Average Tone,-2.1204
2017-07-03,Average Tone,-1.8959
2017-07-04,Average Tone,-1.8537
2017-07-05,Average Tone,-1.5894
2017-07-06,Average Tone,-1.5517
2017-07-07,Average Tone,-1.7631
2017-07-08,Average Tone,-1.5968
2017-07-09,Average Tone,-1.2322
2017-07-10,Average Tone,-1.3015
2017-07-11,Average Tone,-1.3393
2017-07-12,Average Tone,-1.4519
2017-07-13,Average Tone,-1.3823
2017-07-14,Average Tone,-1.7487
2017-07-15,Average Tone,-2.1532
2017-07-16,Average Tone,-2.9756
2017-07-17,Average Tone,-1.907
2017-07-18,Average Tone,-2.4886
2017-07-19,Average Tone,-1.6565
2017-07-20,Average Tone,-1.861
2017-07-21,Average Tone,-1.7681
2017-07-22,Average Tone,-1.9582
2017-07-23,Average Tone,-2.0631
2017-07-24,Average Tone,-1.6025
2017-07-25,Average Tone,-1.9341
2017-07-26,Average Tone,-1.6815
2017-07-27,Average Tone,-1.0935
2017-07-28,Average Tone,-1.5508
2017-07-29,Average Tone,-1.8569
2017-07-30,Average Tone,-1.3709
2017-07-31,Average Tone,-1.7364
2017-08-01,Average Tone,-1.2075
2017-08-02,Average Tone,-1.7929
2017-08-03,Average Tone,-2.2739
2017-08-04,Average Tone,-1.6364
2017-08-05,Average Tone,-1.8884
2017-08-06,Average Tone,-1.7291
2017-08-07,Average Tone,-1.7717
2017-08-08,Average Tone,-2.0893
2017-08-09,Average Tone,-2.5025
2017-08-10,Average Tone,-2.054
2017-08-11,Average Tone,-2.1748
2017-08-12,Average Tone,-1.9832
2017-08-13,Average Tone,-2.3664
2017-08-14,Average Tone,-1.6848
2017-08-15,Average Tone,-1.7022
2017-08-16,Average Tone,-1.6961
2017-08-17,Average Tone,-1.8302
2017-08-18,Average Tone,-2.1532
2017-08-19,Average Tone,-1.9155
2017-08-20,Average Tone,-1.5947
2017-08-21,Average Tone,-1.7491
2017-08-22,Average Tone,-2.2642
2017-08-23,Average Tone,-1.649
2017-08-24,Average Tone,-1.4398
2017-08-25,Average Tone,-1.8736
2017-08-26,Average Tone,-1.4987
2017-08-27,Average Tone,-1.0323
2017-08-28,Average Tone,-1.4473
2017-08-29,Average Tone,-1.2616
2017-08-30,Average Tone,-1.4192
2017-08-31,Average Tone,-1.2296
2017-09-01,Average Tone,-1.3152
2017-09-02,Average Tone,-1.1223
2017-09-03,Average Tone,-0.9565
2017-09-04,Average Tone,-1.3913
2017-09-05,Average Tone,-1.051
2017-09-06,Average Tone,-1.6698
2017-09-07,Average Tone,-1.7407
2017-09-08,Average Tone,-1.5343
2017-09-09,Average Tone,-1.2482
2017-09-10,Average Tone,-1.6009
2017-09-11,Average Tone,-1.3664
2017-09-12,Average Tone,-1.5778
2017-09-13,Average Tone,-0.9595
2017-09-14,Average Tone,-0.6639
2017-09-15,Average Tone,-1.5963
2017-09-16,Average Tone,-1.3371
2017-09-17,Average Tone,-1.0656
2017-09-18,Average Tone,-1.033
2017-09-19,Average Tone,-1.3772
2017-09-20,Average Tone,-1.1225
2017-09-21,Average Tone,-1.5159
2017-09-22,Average Tone,-1.6966
2017-09-23,Average Tone,-2.2848
2017-09-24,Average Tone,-1.7332
2017-09-25,Average Tone,-1.3598
2017-09-26,Average Tone,-1.5757
2017-09-27,Average Tone,-0.7703
2017-09-28,Average Tone,-0.8113
2017-09-29,Average Tone,-1.7771
2017-09-30,Average Tone,-1.3002
2017-10-01,Average Tone,-1.1183
2017-10-02,Average Tone,-1.0778
2017-10-03,Average Tone,-1.0802
2017-10-04,Average Tone,-0.7892
2017-10-05,Average Tone,-1.3484
2017-10-06,Average Tone,-1.7591
2017-10-07,Average Tone,-1.4891
2017-10-08,Average Tone,-1.148
2017-10-09,Average Tone,-0.7709
2017-10-10,Average Tone,-0.5753
2017-10-11,Average Tone,-1.1582
2017-10-12,Average Tone,-1.0843
2017-10-13,Average Tone,-1.614
2017-10-14,Average Tone,-1.8755
2017-10-15,Average Tone,-1.0003
2017-10-16,Average Tone,-0.8141
2017-10-17,Average Tone,-0.9187
2017-10-18,Average Tone,-0.3733
2017-10-19,Average Tone,-0.3632
2017-10-20,Average Tone,-2.0294
2017-10-21,Average Tone,-1.3465
2017-10-22,Average Tone,-1.2542
2017-10-23,Average Tone,-0.6417
2017-10-24,Average Tone,-0.152
2017-10-25,Average Tone,-0.2542
2017-10-26,Average Tone,-0.3714
2017-10-27,Average Tone,-0.7257
2017-10-28,Average Tone,-0.8278
2017-10-29,Average Tone,-0.3078
2017-10-30,Average Tone,-1.0274
2017-10-31,Average Tone,-1.2591
2017-11-01,Average Tone,-0.6398
2017-11-02,Average Tone,-0.9472
2017-11-03,Average Tone,-1.2715
