Date,Series,Value
2017-01-01,Average Tone,-0.6024
2017-01-02,Average Tone,-0.7573
2017-01-03,Average Tone,-0.288
2017-01-04,Average Tone,0.3756
2017-01-05,Average Tone,-0.1512
2017-01-06,Average Tone,0.0378
2017-01-07,Average Tone,0.1198
2017-01-08,Average Tone,0.3406
2017-01-09,Average Tone,0.3757
2017-01-10,Average Tone,-0.0207
2017-01-11,Average Tone,-0.3531
2017-01-12,Average Tone,-0.1379
2017-01-13,Average Tone,-0.5707
2017-01-14,Average Tone,-0.3544
2017-01-15,Average Tone,-0.1403
2017-01-16,Average Tone,-0.3705
2017-01-17,Average Tone,-0.8486
2017-01-18,Average Tone,0.13
2017-01-19,Average Tone,-0.2665
2017-01-20,Average Tone,0.356
2017-01-21,Average Tone,-0.1883
2017-01-22,Average Tone,-0.1287
2017-01-23,Average Tone,0.0257
2017-01-24,Average Tone,-0.4665
2017-01-25,Average Tone,-0.2728
2017-01-26,Average Tone,-0.4577
2017-01-27,Average Tone,0.6797
2017-01-28,Average Tone,0.2017
2017-01-29,Average Tone,0.0971
2017-01-30,Average Tone,-0.0408
2017-01-31,Average Tone,-0.6092
2017-02-01,Average Tone,-0.467
2017-02-02,Average Tone,0.1842
2017-02-03,Average Tone,0.3628
2017-02-04,Average Tone,-0.1588
2017-02-05,Average Tone,-0.527
2017-02-06,Average Tone,-0.3396
2017-02-07,Average Tone,-0.0365
2017-02-08,Average Tone,-0.3849
2017-02-09,Average Tone,-0.0655
2017-02-10,Average Tone,-0.2
2017-02-11,Average Tone,-0.3329
2017-02-12,Average Tone,-0.4315
2017-02-13,Average Tone,-0.8944
2017-02-14,Average Tone,-0.0255
2017-02-15,Average Tone,-0.5109
2017-02-16,Average Tone,0.4031
2017-02-17,Average Tone,-0.111
2017-02-18,Average Tone,0.1748
2017-02-19,Average Tone,0.0909
2017-02-20,Average Tone,0.5229
2017-02-21,Average Tone,-0.4072
2017-02-22,Average Tone,0.8679
2017-02-23,Average Tone,-0.3211
2017-02-24,Average Tone,-0.0243
2017-02-25,Average Tone,0.6122
2017-02-26,Average Tone,1.237
2017-02-27,Average Tone,1.0332
2017-02-28,Average Tone,-0.0949
2017-03-01,Average Tone,-0.0042
2017-03-02,Average Tone,0.4582
2017-03-03,Average Tone,0.3371
2017-03-04,Average Tone,-0.0122
2017-03-05,Average Tone,0.0955
2017-03-06,Average Tone,0.3562
2017-03-07,Average Tone,-0.1804
2017-03-08,Average Tone,0.2846
2017-03-09,Average Tone,0.1761
2017-03-10,Average Tone,-0.2504
2017-03-11,Average Tone,-0.2101
2017-03-12,Average Tone,-0.5522
2017-03-13,Average Tone,-0.125
2017-03-14,Average Tone,-0.1288
2017-03-15,Average Tone,-0.8055
2017-03-16,Average Tone,0.6712
2017-03-17,Average Tone,0.6057
2017-03-18,Average Tone,0.0331
2017-03-19,Average Tone,0.629
2017-03-20,Average Tone,-0.0953
2017-03-21,Average Tone,-0.1402
2017-03-22,Average Tone,0.8136
2017-03-23,Average Tone,0.6501
2017-03-24,Average Tone,0.3413
2017-03-25,Average Tone,-0.6792
2017-03-26,Average Tone,-0.5593
2017-03-27,Average Tone,-0.3668
2017-03-28,Average Tone,0.413
2017-03-29,Average Tone,0.1589
2017-03-30,Average Tone,-0.0747
2017-03-31,Average Tone,-0.1835
2017-04-01,Average Tone,0.0496
2017-04-02,Average Tone,0.4127
2017-04-03,Average Tone,0.1055
2017-04-04,Average Tone,0.2609
2017-04-05,Average Tone,0.2345
2017-04-06,Average Tone,0.5826
2017-04-07,Average Tone,-0.5577
2017-04-08,Average Tone,-0.317
2017-04-09,Average Tone,-0.5661
2017-04-10,Average Tone,-0.3046
2017-04-11,Average Tone,-0.0621
2017-04-12,Average Tone,0.2709
2017-04-13,Average Tone,0.3551
2017-04-14,Average Tone,-0.1006
2017-04-15,Average Tone,-0.0205
2017-04-16,Average Tone,-0.2661
2017-04-17,Average Tone,0.07
2017-04-18,Average Tone,0.9386
2017-04-19,Average Tone,0.018
2017-04-20,Average Tone,-0.4256
2017-04-21,Average Tone,0.0092
2017-04-22,Average Tone,-0.19
2017-04-23,Average Tone,0.063
2017-04-24,Average Tone,0.6741
2017-04-25,Average Tone,0.2174
2017-04-26,Average Tone,0.4131
2017-04-27,Average Tone,-0.2582
2017-04-28,Average Tone,-0.0693
2017-04-29,Average Tone,0.0879
2017-04-30,Average Tone,0.2488
2017-05-01,Average Tone,0.9344
2017-05-02,Average Tone,0.1548
2017-05-03,Average Tone,0.5957
2017-05-04,Average Tone,0.4822
2017-05-05,Average Tone,0.1003
2017-05-06,Average Tone,-0.0755
2017-05-07,Average Tone,-0.1783
2017-05-08,Average Tone,0.6057
2017-05-09,Average Tone,0.7315
2017-05-10,Average Tone,-0.0698
2017-05-11,Average Tone,0.4881
2017-05-12,Average Tone,0.1047
2017-05-13,Average Tone,0.3115
2017-05-14,Average Tone,0.6174
2017-05-15,Average Tone,0.409
2017-05-16,Average Tone,-0.2314
2017-05-17,Average Tone,0.1748
2017-05-18,Average Tone,0.1195
2017-05-19,Average Tone,-0.0185
2017-05-20,Average Tone,-0.8167
2017-05-21,Average Tone,-0.5367
2017-05-22,Average Tone,-0.3024
2017-05-23,Average Tone,-0.0376
2017-05-24,Average Tone,1.0327
2017-05-25,Average Tone,0.2571
2017-05-26,Average Tone,0.4872
2017-05-27,Average Tone,0.3841
2017-05-28,Average Tone,0.4966
2017-05-29,Average Tone,0.4967
2017-05-30,Average Tone,0.3018
2017-05-31,Average Tone,0.7064
2017-06-01,Average Tone,0.6301
2017-06-02,Average Tone,0.2859
2017-06-03,Average Tone,-0.2331
2017-06-04,Average Tone,-0.5527
2017-06-05,Average Tone,-0.3769
2017-06-06,Average Tone,0.4762
2017-06-07,Average Tone,0.7213
2017-06-08,Average Tone,0.0128
2017-06-09,Average Tone,-0.3707
2017-06-10,Average Tone,-0.9385
2017-06-11,Average Tone,-0.4582
2017-06-12,Average Tone,-0.5286
2017-06-13,Average Tone,-0.6487
2017-06-14,Average Tone,-0.5148
2017-06-15,Average Tone,-1.0413
2017-06-16,Average Tone,0.301
2017-06-17,Average Tone,-0.0795
2017-06-18,Average Tone,0.0925
2017-06-19,Average Tone,0.1016
2017-06-20,Average Tone,0.2525
2017-06-21,Average Tone,0.2693
2017-06-22,Average Tone,-0.0435
2017-06-23,Average Tone,-0.0621
2017-06-24,Average Tone,0.0455
2017-06-25,Average Tone,0.1007
2017-06-26,Average Tone,-0.0053
2017-06-27,Average Tone,-0.0806
2017-06-28,Average Tone,-0.0508
2017-06-29,Average Tone,-0.5159
2017-06-30,Average Tone,0.2164
2017-07-01,Average Tone,-0.0352
2017-07-02,Average Tone,0.468
2017-07-03,Average Tone,0.2542
2017-07-04,Average Tone,0.1907
2017-07-05,Average Tone,0.3462
2017-07-06,Average Tone,0.2668
2017-07-07,Average Tone,0.0569
2017-07-08,Average Tone,-0.1821
2017-07-09,Average Tone,0.3254
2017-07-10,Average Tone,0.4749
2017-07-11,Average Tone,0.1887
2017-07-12,Average Tone,-0.0536
2017-07-13,Average Tone,0.3244
2017-07-14,Average Tone,-0.1749
2017-07-15,Average Tone,-0.7173
2017-07-16,Average Tone,-0.5187
2017-07-17,Average Tone,0.0042
2017-07-18,Average Tone,-0.6478
2017-07-19,Average Tone,-0.0041
2017-07-20,Average Tone,0.5913
2017-07-21,Average Tone,0.1755
2017-07-22,Average Tone,0.2416
2017-07-23,Average Tone,-0.2598
2017-07-24,Average Tone,-0.0836
2017-07-25,Average Tone,-0.6092
2017-07-26,Average Tone,0.191
2017-07-27,Average Tone,0.4122
2017-07-28,Average Tone,-0.3978
2017-07-29,Average Tone,0.22
2017-07-30,Average Tone,0.0832
2017-07-31,Average Tone,0.6056
2017-08-01,Average Tone,0.3873
2017-08-02,Average Tone,0.2343
2017-08-03,Average Tone,0.1486
2017-08-04,Average Tone,0.3424
2017-08-05,Average Tone,-0.5776
2017-08-06,Average Tone,-0.4627
2017-08-07,Average Tone,-0.0819
2017-08-08,Average Tone,-0.3993
2017-08-09,Average Tone,0.097
2017-08-10,Average Tone,0.2046
2017-08-11,Average Tone,-0.2721
2017-08-12,Average Tone,0.0735
2017-08-13,Average Tone,0.1997
2017-08-14,Average Tone,0.0868
2017-08-15,Average Tone,-0.4726
2017-08-16,Average Tone,-0.2034
2017-08-17,Average Tone,-0.1423
2017-08-18,Average Tone,-0.4129
2017-08-19,Average Tone,-0.206
2017-08-20,Average Tone,-0.3883
2017-08-21,Average Tone,-0.2417
2017-08-22,Average Tone,-0.0401
2017-08-23,Average Tone,-0.1836
2017-08-24,Average Tone,-0.7512
2017-08-25,Average Tone,-0.2497
2017-08-26,Average Tone,-0.0936
2017-08-27,Average Tone,0.3078
2017-08-28,Average Tone,-0.2136
2017-08-29,Average Tone,-0.1667
2017-08-30,Average Tone,-0.579
2017-08-31,Average Tone,-0.0341
2017-09-01,Average Tone,-0.0775
2017-09-02,Average Tone,-0.3631
2017-09-03,Average Tone,-0.5787
2017-09-04,Average Tone,-0.5211
2017-09-05,Average Tone,-0.1058
2017-09-06,Average Tone,-0.5447
2017-09-07,Average Tone,0.3035
2017-09-08,Average Tone,-0.19
2017-09-09,Average Tone,-0.0791
2017-09-10,Average Tone,0.1155
2017-09-11,Average Tone,-0.3567
2017-09-12,Average Tone,0.0961
2017-09-13,Average Tone,-0.0174
2017-09-14,Average Tone,0.6012
2017-09-15,Average Tone,-0.4783
2017-09-16,Average Tone,-0.3897
2017-09-17,Average Tone,-0.345
2017-09-18,Average Tone,-0.1285
2017-09-19,Average Tone,-0.3442
2017-09-20,Average Tone,-0.2808
2017-09-21,Average Tone,-0.4544
2017-09-22,Average Tone,-0.1251
2017-09-23,Average Tone,-0.502
2017-09-24,Average Tone,0.5198
2017-09-25,Average Tone,0.2522
2017-09-26,Average Tone,-0.4309
2017-09-27,Average Tone,0.7522
2017-09-28,Average Tone,1.0144
2017-09-29,Average Tone,-0.5775
2017-09-30,Average Tone,-1.4389
2017-10-01,Average Tone,-1.5913
2017-10-02,Average Tone,-0.6277
2017-10-03,Average Tone,-0.2821
2017-10-04,Average Tone,-0.5997
2017-10-05,Average Tone,-0.0845
2017-10-06,Average Tone,0.4298
2017-10-07,Average Tone,-0.4265
2017-10-08,Average Tone,0.0128
2017-10-09,Average Tone,-0.0582
2017-10-10,Average Tone,-0.2213
2017-10-11,Average Tone,-0.3395
2017-10-12,Average Tone,-0.0224
2017-10-13,Average Tone,-0.2811
2017-10-14,Average Tone,-1.3043
2017-10-15,Average Tone,-1.4868
2017-10-16,Average Tone,-0.9543
2017-10-17,Average Tone,-0.129
2017-10-18,Average Tone,-0.0421
2017-10-19,Average Tone,-0.4328
2017-10-20,Average Tone,-0.603
2017-10-21,Average Tone,-0.9654
2017-10-22,Average Tone,-0.3721
2017-10-23,Average Tone,-0.3276
2017-10-24,Average Tone,0.3769
2017-10-25,Average Tone,0.0511
2017-10-26,Average Tone,0.631
2017-10-27,Average Tone,0.0498
2017-10-28,Average Tone,-0.0813
2017-10-29,Average Tone,-0.2739
2017-10-30,Average Tone,-0.1184
2017-10-31,Average Tone,0.2838
2017-11-01,Average Tone,0.0203
2017-11-02,Average Tone,0.1465
2017-11-03,Average Tone,-0.0498
2017-11-04,Average Tone,-0.3057
2017-11-05,Average Tone,0.2771
2017-11-06,Average Tone,0.2274
2017-11-07,Average Tone,-0.2017
2017-11-08,Average Tone,-0.0238
2017-11-09,Average Tone,0.0098
2017-11-10,Average Tone,0.444
2017-11-11,Average Tone,0.1849
2017-11-12,Average Tone,0.478
2017-11-13,Average Tone,0.1965
2017-11-14,Average Tone,-0.1551
2017-11-15,Average Tone,-0.2022
2017-11-16,Average Tone,0.0769
2017-11-17,Average Tone,-0.2207
2017-11-18,Average Tone,-0.0587
2017-11-19,Average Tone,-0.0152
2017-11-20,Average Tone,0.0033
2017-11-21,Average Tone,-0.1195
2017-11-22,Average Tone,-0.2289
2017-11-23,Average Tone,-0.6994
2017-11-24,Average Tone,0.0065
2017-11-25,Average Tone,-0.4622
2017-11-26,Average Tone,-0.9862
2017-11-27,Average Tone,-0.1205
2017-11-28,Average Tone,-0.2067
2017-11-29,Average Tone,-0.1477
2017-11-30,Average Tone,-0.3924
2017-12-03,Average Tone,0.1976
2017-12-04,Average Tone,-0.0361
2017-12-05,Average Tone,0.1439
2017-12-06,Average Tone,0.0138
2017-12-07,Average Tone,0.109
2017-12-08,Average Tone,0.4419
2017-12-09,Average Tone,-0.1977
2017-12-10,Average Tone,0.611
2017-12-11,Average Tone,-0.1398
2017-12-12,Average Tone,-0.1488
2017-12-13,Average Tone,-0.1109
2017-12-14,Average Tone,-0.3057
2017-12-15,Average Tone,0.017
2017-12-16,Average Tone,-0.3171
2017-12-17,Average Tone,0.0572
2017-12-18,Average Tone,0.5122
2017-12-19,Average Tone,-0.1115
2017-12-20,Average Tone,-0.576
2017-12-21,Average Tone,-0.2525
2017-12-22,Average Tone,-0.2423
2017-12-23,Average Tone,-0.8477
2017-12-24,Average Tone,-1.0542
2017-12-25,Average Tone,-0.2765
2017-12-26,Average Tone,-0.6907
2017-12-27,Average Tone,-0.3439
2017-12-28,Average Tone,-0.0669
2017-12-29,Average Tone,-0.5587
2017-12-30,Average Tone,-0.1959
2017-12-31,Average Tone,-1.1258
2018-01-01,Average Tone,0.1214
2018-01-02,Average Tone,-0.2168
2018-01-03,Average Tone,0.1964
2018-01-04,Average Tone,0.1369
2018-01-05,Average Tone,0.4069
