Date,Series,Value
2017-01-01,Average Tone,-1.9589
2017-01-02,Average Tone,-1.6982
2017-01-03,Average Tone,-1.3278
2017-01-04,Average Tone,-1.7644
2017-01-05,Average Tone,-1.9768
2017-01-06,Average Tone,-2.5213
2017-01-07,Average Tone,-1.3294
2017-01-08,Average Tone,-1.3592
2017-01-09,Average Tone,-1.5995
2017-01-10,Average Tone,-1.828
2017-01-11,Average Tone,-1.5937
2017-01-12,Average Tone,-1.4431
2017-01-13,Average Tone,-1.921
2017-01-14,Average Tone,-2.8706
2017-01-15,Average Tone,-1.3488
2017-01-16,Average Tone,-1.3207
2017-01-17,Average Tone,-1.3506
2017-01-18,Average Tone,-0.1804
2017-01-19,Average Tone,-0.8524
2017-01-20,Average Tone,-1.5474
2017-01-21,Average Tone,-0.7765
2017-01-22,Average Tone,-1.4041
2017-01-23,Average Tone,-1.3336
2017-01-24,Average Tone,-1.1573
2017-01-25,Average Tone,-0.8863
2017-01-26,Average Tone,-0.9771
2017-01-27,Average Tone,-0.9695
2017-01-28,Average Tone,-0.3872
2017-01-29,Average Tone,-1.7073
2017-01-30,Average Tone,-1.0816
2017-01-31,Average Tone,-1.5149
2017-02-01,Average Tone,-1.6631
2017-02-02,Average Tone,-1.2383
2017-02-03,Average Tone,-2.1934
2017-02-04,Average Tone,-2.2003
2017-02-05,Average Tone,-1.1688
2017-02-06,Average Tone,-1.407
2017-02-07,Average Tone,-0.833
2017-02-08,Average Tone,-1.318
2017-02-09,Average Tone,-0.3322
2017-02-10,Average Tone,-0.8637
2017-02-11,Average Tone,-1.3277
2017-02-12,Average Tone,-1.3113
2017-02-13,Average Tone,-0.961
2017-02-14,Average Tone,-1.4692
2017-02-15,Average Tone,-1.4765
2017-02-16,Average Tone,-0.709
2017-02-17,Average Tone,-0.9954
2017-02-18,Average Tone,-1.5615
2017-02-19,Average Tone,-1.1156
2017-02-20,Average Tone,-1.3727
2017-02-21,Average Tone,-1.2682
2017-02-22,Average Tone,-1.6192
2017-02-23,Average Tone,-0.7345
2017-02-24,Average Tone,-0.988
2017-02-25,Average Tone,-1.1223
2017-02-26,Average Tone,-0.9351
2017-02-27,Average Tone,-0.8436
2017-02-28,Average Tone,-1.9629
2017-03-01,Average Tone,-0.6518
2017-03-02,Average Tone,-0.8821
2017-03-03,Average Tone,-0.6812
2017-03-04,Average Tone,-1.0344
2017-03-05,Average Tone,-1.3921
2017-03-06,Average Tone,-1.9869
2017-03-07,Average Tone,-0.9712
2017-03-08,Average Tone,-0.7375
2017-03-09,Average Tone,-0.7002
2017-03-10,Average Tone,-0.9292
2017-03-11,Average Tone,-0.989
2017-03-12,Average Tone,-1.9157
2017-03-13,Average Tone,-0.7604
2017-03-14,Average Tone,-1.0648
2017-03-15,Average Tone,-0.4933
2017-03-16,Average Tone,-0.9394
2017-03-17,Average Tone,-1.2971
2017-03-18,Average Tone,-0.9949
