Date,Series,Value
2017-01-01,Average Tone,-0.6754
2017-01-02,Average Tone,-1.65
2017-01-03,Average Tone,0.1177
2017-01-04,Average Tone,-0.8473
2017-01-05,Average Tone,-0.772
2017-01-06,Average Tone,-0.3599
2017-01-07,Average Tone,0.5352
2017-01-08,Average Tone,0.6275
2017-01-09,Average Tone,0.5238
2017-01-10,Average Tone,-0.046
2017-01-11,Average Tone,-0.1894
2017-01-12,Average Tone,-0.1951
2017-01-13,Average Tone,-0.5741
2017-01-14,Average Tone,-1.0181
2017-01-15,Average Tone,-1.0257
2017-01-16,Average Tone,-0.4121
2017-01-17,Average Tone,-0.6666
2017-01-18,Average Tone,-0.0829
2017-01-19,Average Tone,0.0487
2017-01-20,Average Tone,-0.2306
2017-01-21,Average Tone,-0.4156
2017-01-22,Average Tone,-2.9286
2017-01-23,Average Tone,-0.7718
2017-01-24,Average Tone,-0.2301
2017-01-25,Average Tone,-0.1754
2017-01-26,Average Tone,-0.0242
2017-01-27,Average Tone,-0.2629
2017-01-28,Average Tone,-0.1437
2017-01-29,Average Tone,-0.6588
2017-01-30,Average Tone,-0.1228
2017-01-31,Average Tone,-0.591
2017-02-01,Average Tone,-0.4471
2017-02-02,Average Tone,-0.4218
2017-02-03,Average Tone,-1.1719
2017-02-04,Average Tone,-1.5772
2017-02-05,Average Tone,-0.9296
2017-02-06,Average Tone,-0.4463
2017-02-07,Average Tone,-0.2983
2017-02-08,Average Tone,-0.6878
2017-02-09,Average Tone,-0.028
2017-02-10,Average Tone,-0.5739
2017-02-11,Average Tone,-1.0515
2017-02-12,Average Tone,-1.1304
2017-02-13,Average Tone,-0.7408
2017-02-14,Average Tone,-0.8507
2017-02-15,Average Tone,-0.9093
2017-02-16,Average Tone,-0.6685
2017-02-17,Average Tone,-0.435
2017-02-18,Average Tone,-1.5473
2017-02-19,Average Tone,-1.3502
2017-02-20,Average Tone,-0.4585
2017-02-21,Average Tone,-0.3209
2017-02-22,Average Tone,-0.4598
2017-02-23,Average Tone,-0.424
2017-02-24,Average Tone,-0.4694
2017-02-25,Average Tone,-0.5
2017-02-26,Average Tone,0.0081
2017-02-27,Average Tone,-0.0764
2017-02-28,Average Tone,-0.6407
2017-03-01,Average Tone,-0.2266
2017-03-02,Average Tone,-0.3103
2017-03-03,Average Tone,-0.5569
2017-03-04,Average Tone,-1.4136
2017-03-05,Average Tone,-0.8286
2017-03-06,Average Tone,-0.5063
2017-03-07,Average Tone,-0.9251
2017-03-08,Average Tone,-1.5399
2017-03-09,Average Tone,-0.4116
2017-03-10,Average Tone,-0.8504
2017-03-11,Average Tone,-0.5586
2017-03-12,Average Tone,-3.8376
2017-03-13,Average Tone,0.155
2017-03-14,Average Tone,-0.6123
2017-03-15,Average Tone,-0.2741
2017-03-16,Average Tone,-0.0362
2017-03-17,Average Tone,-1.0728
2017-03-18,Average Tone,-0.3435
2017-03-19,Average Tone,-0.3512
2017-03-20,Average Tone,-0.1146
2017-03-21,Average Tone,-0.2818
2017-03-22,Average Tone,-0.5904
2017-03-23,Average Tone,-2.4839
2017-03-24,Average Tone,-1.7099
2017-03-25,Average Tone,-0.8098
2017-03-26,Average Tone,-0.6595
2017-03-27,Average Tone,-0.6986
2017-03-28,Average Tone,-1.891
2017-03-29,Average Tone,-0.7162
2017-03-30,Average Tone,-0.4758
2017-03-31,Average Tone,-1.253
2017-04-01,Average Tone,-1.3635
2017-04-02,Average Tone,-0.6465
2017-04-03,Average Tone,-0.6675
2017-04-04,Average Tone,-1.0199
2017-04-05,Average Tone,-1.3823
2017-04-06,Average Tone,-1.348
2017-04-07,Average Tone,-1.6849
2017-04-08,Average Tone,-0.9661
2017-04-09,Average Tone,-0.9588
2017-04-10,Average Tone,-0.2466
2017-04-11,Average Tone,-1.5463
2017-04-12,Average Tone,-1.7192
2017-04-13,Average Tone,-0.6752
2017-04-14,Average Tone,-2.7457
2017-04-15,Average Tone,-1.9967
2017-04-16,Average Tone,-2.4533
2017-04-17,Average Tone,-1.6187
2017-04-18,Average Tone,-0.7426
2017-04-19,Average Tone,-0.7552
2017-04-20,Average Tone,-0.419
2017-04-21,Average Tone,-0.2417
2017-04-22,Average Tone,-0.7492
2017-04-23,Average Tone,-1.4677
2017-04-24,Average Tone,-0.9035
2017-04-25,Average Tone,-0.5762
2017-04-26,Average Tone,-0.6091
2017-04-27,Average Tone,-0.8242
2017-04-28,Average Tone,-1.843
2017-04-29,Average Tone,-1.7039
2017-04-30,Average Tone,-1.0029
2017-05-01,Average Tone,-0.9413
2017-05-02,Average Tone,-0.6054
2017-05-03,Average Tone,-0.6319
2017-05-04,Average Tone,-1.5034
2017-05-05,Average Tone,-0.2343
2017-05-06,Average Tone,-0.9796
2017-05-07,Average Tone,-0.9473
2017-05-08,Average Tone,-0.6354
2017-05-09,Average Tone,-0.6207
2017-05-10,Average Tone,-0.5539
2017-05-11,Average Tone,-1.4007
