Date,Series,Value
2017-01-01,Volume Intensity,0.0444
2017-01-02,Volume Intensity,0.0614
2017-01-03,Volume Intensity,0.1174
2017-01-04,Volume Intensity,0.0752
2017-01-05,Volume Intensity,0.069
2017-01-06,Volume Intensity,0.0737
2017-01-07,Volume Intensity,0.0645
2017-01-08,Volume Intensity,0.0698
2017-01-09,Volume Intensity,0.0901
2017-01-10,Volume Intensity,0.0588
2017-01-11,Volume Intensity,0.0736
2017-01-12,Volume Intensity,0.0708
2017-01-13,Volume Intensity,0.0694
2017-01-14,Volume Intensity,0.0583
2017-01-15,Volume Intensity,0.0501
2017-01-16,Volume Intensity,0.0974
2017-01-17,Volume Intensity,0.094
2017-01-18,Volume Intensity,0.0993
2017-01-19,Volume Intensity,0.0818
2017-01-20,Volume Intensity,0.0746
2017-01-21,Volume Intensity,0.038
2017-01-22,Volume Intensity,0.0652
2017-01-23,Volume Intensity,0.083
2017-01-24,Volume Intensity,0.0827
2017-01-25,Volume Intensity,0.0622
2017-01-26,Volume Intensity,0.0588
2017-01-27,Volume Intensity,0.0589
2017-01-28,Volume Intensity,0.0496
2017-01-29,Volume Intensity,0.0412
2017-01-30,Volume Intensity,0.0643
2017-01-31,Volume Intensity,0.0569
2017-02-01,Volume Intensity,0.0683
2017-02-02,Volume Intensity,0.0508
2017-02-03,Volume Intensity,0.0963
2017-02-04,Volume Intensity,0.0564
2017-02-05,Volume Intensity,0.037
2017-02-06,Volume Intensity,0.0573
2017-02-07,Volume Intensity,0.0814
2017-02-08,Volume Intensity,0.0518
2017-02-09,Volume Intensity,0.0591
2017-02-10,Volume Intensity,0.0771
2017-02-11,Volume Intensity,0.0342
2017-02-12,Volume Intensity,0.0403
2017-02-13,Volume Intensity,0.0537
2017-02-14,Volume Intensity,0.0536
2017-02-15,Volume Intensity,0.0627
2017-02-16,Volume Intensity,0.0684
2017-02-17,Volume Intensity,0.0499
2017-02-18,Volume Intensity,0.035
2017-02-19,Volume Intensity,0.036
2017-02-20,Volume Intensity,0.0553
2017-02-21,Volume Intensity,0.055
2017-02-22,Volume Intensity,0.0499
2017-02-23,Volume Intensity,0.044
2017-02-24,Volume Intensity,0.0475
2017-02-25,Volume Intensity,0.0303
2017-02-26,Volume Intensity,0.0359
2017-02-27,Volume Intensity,0.0582
2017-02-28,Volume Intensity,0.0527
2017-03-01,Volume Intensity,0.0497
2017-03-02,Volume Intensity,0.067
2017-03-03,Volume Intensity,0.0623
2017-03-04,Volume Intensity,0.1167
2017-03-05,Volume Intensity,0.0503
2017-03-06,Volume Intensity,0.0629
2017-03-07,Volume Intensity,0.066
2017-03-08,Volume Intensity,0.0727
2017-03-09,Volume Intensity,0.0496
2017-03-10,Volume Intensity,0.0514
2017-03-11,Volume Intensity,0.0315
2017-03-12,Volume Intensity,0.0575
2017-03-13,Volume Intensity,0.0585
2017-03-14,Volume Intensity,0.0491
2017-03-15,Volume Intensity,0.0481
2017-03-16,Volume Intensity,0.048
2017-03-17,Volume Intensity,0.067
2017-03-18,Volume Intensity,0.0801
2017-03-19,Volume Intensity,0.0934
2017-03-20,Volume Intensity,0.0879
2017-03-21,Volume Intensity,0.0605
2017-03-22,Volume Intensity,0.0808
2017-03-23,Volume Intensity,0.0932
2017-03-24,Volume Intensity,0.071
2017-03-25,Volume Intensity,0.0424
2017-03-26,Volume Intensity,0.072
2017-03-27,Volume Intensity,0.0728
2017-03-28,Volume Intensity,0.0837
2017-03-29,Volume Intensity,0.0612
2017-03-30,Volume Intensity,0.0572
2017-03-31,Volume Intensity,0.0658
2017-04-01,Volume Intensity,0.061
2017-04-02,Volume Intensity,0.0596
2017-04-03,Volume Intensity,0.1015
2017-04-04,Volume Intensity,0.0577
2017-04-05,Volume Intensity,0.0736
2017-04-06,Volume Intensity,0.1073
2017-04-07,Volume Intensity,0.0971
2017-04-08,Volume Intensity,0.1002
2017-04-09,Volume Intensity,0.0998
2017-04-10,Volume Intensity,0.1298
2017-04-11,Volume Intensity,0.0991
2017-04-12,Volume Intensity,0.0954
2017-04-13,Volume Intensity,0.0907
2017-04-14,Volume Intensity,0.1244
2017-04-15,Volume Intensity,0.0777
2017-04-16,Volume Intensity,0.1329
2017-04-17,Volume Intensity,0.105
2017-04-18,Volume Intensity,0.0825
2017-04-19,Volume Intensity,0.0846
2017-04-20,Volume Intensity,0.0724
2017-04-21,Volume Intensity,0.0733
2017-04-22,Volume Intensity,0.0956
2017-04-23,Volume Intensity,0.0813
2017-04-24,Volume Intensity,0.0769
2017-04-25,Volume Intensity,0.0713
2017-04-26,Volume Intensity,0.0752
2017-04-27,Volume Intensity,0.1349
2017-04-28,Volume Intensity,0.1006
2017-04-29,Volume Intensity,0.0886
2017-04-30,Volume Intensity,0.1127
2017-05-01,Volume Intensity,0.0591
2017-05-02,Volume Intensity,0.0857
2017-05-03,Volume Intensity,0.0572
2017-05-04,Volume Intensity,0.0989
2017-05-05,Volume Intensity,0.0731
2017-05-06,Volume Intensity,0.0391
2017-05-07,Volume Intensity,0.0443
2017-05-08,Volume Intensity,0.0702
2017-05-09,Volume Intensity,0.0507
2017-05-10,Volume Intensity,0.0746
2017-05-11,Volume Intensity,0.0747
2017-05-12,Volume Intensity,0.0827
2017-05-13,Volume Intensity,0.0614
2017-05-14,Volume Intensity,0.1695
2017-05-15,Volume Intensity,0.081
2017-05-16,Volume Intensity,0.0729
2017-05-17,Volume Intensity,0.0743
