Date,Series,Value
2017-01-01,Average Tone,-0.5872
2017-01-02,Average Tone,-0.99
2017-01-03,Average Tone,0.2828
2017-01-04,Average Tone,-0.7377
2017-01-05,Average Tone,-1.0455
2017-01-06,Average Tone,0.0055
2017-01-07,Average Tone,-1.0101
2017-01-08,Average Tone,-1.2349
2017-01-09,Average Tone,0.3134
2017-01-10,Average Tone,0.0079
2017-01-11,Average Tone,-0.073
2017-01-12,Average Tone,0.5075
2017-01-13,Average Tone,0.0798
2017-01-14,Average Tone,-0.2929
2017-01-15,Average Tone,0.2455
2017-01-16,Average Tone,0.0963
2017-01-17,Average Tone,-3.1407
2017-01-18,Average Tone,0.2717
2017-01-19,Average Tone,0.4806
2017-01-20,Average Tone,0.2407
2017-01-21,Average Tone,-0.9957
2017-01-22,Average Tone,-0.2013
2017-01-23,Average Tone,-0.5911
2017-01-24,Average Tone,0.67
2017-01-25,Average Tone,0.1483
2017-01-26,Average Tone,0.1147
2017-01-27,Average Tone,0.8725
2017-01-28,Average Tone,0.9181
2017-01-29,Average Tone,0.4048
2017-01-30,Average Tone,0.5676
2017-01-31,Average Tone,1.349
2017-02-01,Average Tone,0.2854
2017-02-02,Average Tone,0.4626
2017-02-03,Average Tone,0.4856
2017-02-04,Average Tone,1.1589
2017-02-05,Average Tone,0.5976
2017-02-06,Average Tone,0.7327
2017-02-07,Average Tone,-0.061
2017-02-08,Average Tone,0.4089
2017-02-09,Average Tone,-0.1299
2017-02-10,Average Tone,-0.6779
2017-02-11,Average Tone,-0.7794
2017-02-12,Average Tone,-1.0586
2017-02-13,Average Tone,-0.4748
2017-02-14,Average Tone,0.0457
2017-02-15,Average Tone,-0.2553
2017-02-16,Average Tone,0.96
2017-02-17,Average Tone,0.5176
2017-02-18,Average Tone,-0.3127
2017-02-19,Average Tone,-1.0701
2017-02-20,Average Tone,0.114
2017-02-21,Average Tone,0.2698
2017-02-22,Average Tone,0.421
2017-02-23,Average Tone,0.6708
2017-02-24,Average Tone,0.3182
2017-02-25,Average Tone,1.0504
2017-02-26,Average Tone,0.3301
2017-02-27,Average Tone,0.9488
2017-02-28,Average Tone,0.3934
2017-03-01,Average Tone,0.9357
2017-03-02,Average Tone,0.8141
2017-03-03,Average Tone,0.4039
2017-03-04,Average Tone,0.1653
2017-03-05,Average Tone,0.5193
2017-03-06,Average Tone,-1.1088
2017-03-07,Average Tone,0.2952
2017-03-08,Average Tone,0.3614
2017-03-09,Average Tone,0.5676
2017-03-10,Average Tone,-0.3833
2017-03-11,Average Tone,0.3661
2017-03-12,Average Tone,-0.3345
2017-03-13,Average Tone,-0.5755
2017-03-14,Average Tone,0.4994
2017-03-15,Average Tone,0.1984
2017-03-16,Average Tone,0.2189
2017-03-17,Average Tone,0.576
2017-03-18,Average Tone,0.7018
2017-03-19,Average Tone,-0.5587
2017-03-20,Average Tone,0.5266
2017-03-21,Average Tone,-0.1651
2017-03-22,Average Tone,-1.1537
2017-03-23,Average Tone,0.8349
2017-03-24,Average Tone,0.3919
2017-03-25,Average Tone,0.46
2017-03-26,Average Tone,0.5041
2017-03-27,Average Tone,1.6055
2017-03-28,Average Tone,0.9033
2017-03-29,Average Tone,1.0013
2017-03-30,Average Tone,0.7994
2017-03-31,Average Tone,-0.1024
2017-04-01,Average Tone,0.1746
2017-04-02,Average Tone,0.604
2017-04-03,Average Tone,0.5746
2017-04-04,Average Tone,-0.453
2017-04-05,Average Tone,0.2824
2017-04-06,Average Tone,0.071
2017-04-07,Average Tone,0.8325
2017-04-08,Average Tone,-0.0801
2017-04-09,Average Tone,0.8139
2017-04-10,Average Tone,0.3957
2017-04-11,Average Tone,-0.5879
2017-04-12,Average Tone,-0.5928
2017-04-13,Average Tone,-0.0617
2017-04-14,Average Tone,-0.59
2017-04-15,Average Tone,-0.8137
2017-04-16,Average Tone,-0.4265
2017-04-17,Average Tone,-0.1785
2017-04-18,Average Tone,-0.2013
2017-04-19,Average Tone,0.1413
2017-04-20,Average Tone,-1.0445
2017-04-21,Average Tone,2.2022
2017-04-22,Average Tone,-0.1058
2017-04-23,Average Tone,0.6141
2017-04-24,Average Tone,0.4472
2017-04-25,Average Tone,-0.4344
2017-04-26,Average Tone,0.4091
2017-04-27,Average Tone,0.5807
2017-04-28,Average Tone,1.2018
2017-04-29,Average Tone,-0.2674
2017-04-30,Average Tone,-1.8296
2017-05-01,Average Tone,0.4589
2017-05-02,Average Tone,0.3821
2017-05-03,Average Tone,0.2091
2017-05-04,Average Tone,0.6948
2017-05-05,Average Tone,0.261
2017-05-06,Average Tone,-2.3588
2017-05-07,Average Tone,-0.0796
2017-05-08,Average Tone,-0.0758
2017-05-09,Average Tone,0.4325
2017-05-10,Average Tone,0.3195
2017-05-11,Average Tone,-0.1344
2017-05-12,Average Tone,-0.2291
2017-05-13,Average Tone,0.0232
2017-05-14,Average Tone,0.2013
2017-05-15,Average Tone,-0.4023
2017-05-16,Average Tone,0.9739
2017-05-17,Average Tone,0.4303
2017-05-18,Average Tone,-0.4201
2017-05-19,Average Tone,-0.0924
2017-05-20,Average Tone,-0.5056
2017-05-21,Average Tone,-0.5106
2017-05-22,Average Tone,0.8676
2017-05-23,Average Tone,0.1686
2017-05-24,Average Tone,0.1423
2017-05-25,Average Tone,0.4721
2017-05-26,Average Tone,0.9608
2017-05-27,Average Tone,0.3968
2017-05-28,Average Tone,1.6219
2017-05-29,Average Tone,0.3934
2017-05-30,Average Tone,0.248
2017-05-31,Average Tone,0.6728
2017-06-01,Average Tone,0.4228
2017-06-02,Average Tone,0.3352
2017-06-03,Average Tone,-0.1604
2017-06-04,Average Tone,-0.1688
2017-06-05,Average Tone,-0.2966
2017-06-06,Average Tone,-0.1286
2017-06-07,Average Tone,0.2778
2017-06-08,Average Tone,0.5301
2017-06-09,Average Tone,0.7688
2017-06-10,Average Tone,-0.7498
2017-06-11,Average Tone,-0.8318
2017-06-12,Average Tone,0.4425
2017-06-13,Average Tone,0.6801
2017-06-14,Average Tone,0.4565
2017-06-15,Average Tone,0.5439
2017-06-16,Average Tone,0.8056
2017-06-17,Average Tone,0.3832
2017-06-18,Average Tone,0.3254
2017-06-19,Average Tone,0.7751
2017-06-20,Average Tone,-0.0878
2017-06-21,Average Tone,-1.3429
2017-06-22,Average Tone,-0.0788
2017-06-23,Average Tone,0.3293
2017-06-24,Average Tone,-0.0167
2017-06-25,Average Tone,-0.4129
2017-06-26,Average Tone,0.0289
2017-06-27,Average Tone,-1.1682
2017-06-28,Average Tone,-0.3014
2017-06-29,Average Tone,0.4471
2017-06-30,Average Tone,0.2701
2017-07-01,Average Tone,0.0623
2017-07-02,Average Tone,0.4098
2017-07-03,Average Tone,0.55
2017-07-04,Average Tone,0.2403
2017-07-05,Average Tone,-0.0148
2017-07-06,Average Tone,0.2518
2017-07-07,Average Tone,0.1109
2017-07-08,Average Tone,-1.3291
2017-07-09,Average Tone,-1.2423
2017-07-10,Average Tone,-0.1638
2017-07-11,Average Tone,0.1445
2017-07-12,Average Tone,0.3391
2017-07-13,Average Tone,0.0729
2017-07-14,Average Tone,-0.1458
2017-07-15,Average Tone,-0.0481
2017-07-16,Average Tone,-0.0392
2017-07-17,Average Tone,-0.2859
2017-07-18,Average Tone,0.0256
2017-07-19,Average Tone,-0.0751
2017-07-20,Average Tone,-0.1017
2017-07-21,Average Tone,-0.0446
2017-07-22,Average Tone,0.4924
2017-07-23,Average Tone,-0.5597
2017-07-24,Average Tone,0.2342
2017-07-25,Average Tone,-0.4245
2017-07-26,Average Tone,0.4579
2017-07-27,Average Tone,0.9697
2017-07-28,Average Tone,0.0232
2017-07-29,Average Tone,-0.7229
2017-07-30,Average Tone,-0.188
2017-07-31,Average Tone,0.3129
2017-08-01,Average Tone,0.5493
2017-08-02,Average Tone,0.0819
2017-08-03,Average Tone,-0.9023
2017-08-04,Average Tone,-0.3087
2017-08-05,Average Tone,0.272
2017-08-06,Average Tone,-1.4862
2017-08-07,Average Tone,-1.6696
2017-08-08,Average Tone,-0.4945
2017-08-09,Average Tone,0.1505
2017-08-10,Average Tone,-0.8504
2017-08-11,Average Tone,0.4865
2017-08-12,Average Tone,-0.7907
2017-08-13,Average Tone,-1.284
2017-08-14,Average Tone,0.3337
2017-08-15,Average Tone,-0.0505
2017-08-16,Average Tone,-0.711
2017-08-17,Average Tone,-0.027
2017-08-18,Average Tone,-1.0082
2017-08-19,Average Tone,-0.8316
2017-08-20,Average Tone,-0.0211
2017-08-21,Average Tone,0.3812
2017-08-22,Average Tone,-1.887
2017-08-23,Average Tone,-1.0389
2017-08-24,Average Tone,0.3554
2017-08-25,Average Tone,-0.0555
2017-08-26,Average Tone,0.4681
2017-08-27,Average Tone,-0.431
2017-08-28,Average Tone,-0.3445
2017-08-29,Average Tone,0.1281
2017-08-30,Average Tone,0.3474
2017-08-31,Average Tone,0.0608
2017-09-01,Average Tone,0.348
2017-09-02,Average Tone,0.0652
2017-09-03,Average Tone,0.0912
2017-09-04,Average Tone,0.3342
2017-09-05,Average Tone,-1.1307
2017-09-06,Average Tone,-0.2553
2017-09-07,Average Tone,0.47
2017-09-08,Average Tone,0.2246
2017-09-09,Average Tone,-0.3135
2017-09-10,Average Tone,0.0711
2017-09-11,Average Tone,0.2788
2017-09-12,Average Tone,0.4571
2017-09-13,Average Tone,0.6671
2017-09-14,Average Tone,0.4971
2017-09-15,Average Tone,-0.0009
2017-09-16,Average Tone,0.031
2017-09-17,Average Tone,0.8978
2017-09-18,Average Tone,0.5683
2017-09-19,Average Tone,-0.2767
2017-09-20,Average Tone,-1.1605
2017-09-21,Average Tone,0.0174
2017-09-22,Average Tone,-1.468
2017-09-23,Average Tone,-0.5214
2017-09-24,Average Tone,-1.4909
2017-09-25,Average Tone,-0.4791
2017-09-26,Average Tone,0.5846
2017-09-27,Average Tone,0.2819
2017-09-28,Average Tone,-0.2103
2017-09-29,Average Tone,-0.0032
2017-09-30,Average Tone,-1.2006
2017-10-01,Average Tone,0.5671
2017-10-02,Average Tone,-0.0219
2017-10-03,Average Tone,-0.12
2017-10-04,Average Tone,-0.1106
2017-10-05,Average Tone,0.7124
2017-10-06,Average Tone,0.3947
2017-10-07,Average Tone,-0.8386
2017-10-08,Average Tone,-0.0652
2017-10-09,Average Tone,-0.6085
2017-10-10,Average Tone,-0.4792
2017-10-11,Average Tone,-0.1589
2017-10-12,Average Tone,0.3262
2017-10-13,Average Tone,-0.0567
2017-10-14,Average Tone,0.3384
2017-10-15,Average Tone,-0.3272
2017-10-16,Average Tone,0.2395
2017-10-17,Average Tone,0.5148
2017-10-18,Average Tone,1.2279
2017-10-19,Average Tone,0.1288
2017-10-20,Average Tone,0.5448
2017-10-21,Average Tone,-0.705
2017-10-22,Average Tone,1.2381
2017-10-23,Average Tone,0.2837
2017-10-24,Average Tone,0.1424
2017-10-25,Average Tone,0.379
2017-10-26,Average Tone,0.6089
2017-10-27,Average Tone,0.3191
2017-10-28,Average Tone,-0.6899
2017-10-29,Average Tone,-0.6976
2017-10-30,Average Tone,0.6439
2017-10-31,Average Tone,-0.6958
2017-11-01,Average Tone,-0.8154
2017-11-02,Average Tone,-0.489
2017-11-03,Average Tone,0.2539
2017-11-04,Average Tone,0.1555
2017-11-05,Average Tone,-0.1885
2017-11-06,Average Tone,0.0144
2017-11-07,Average Tone,-0.0938
2017-11-08,Average Tone,-0.0754
2017-11-09,Average Tone,0.3848
2017-11-10,Average Tone,0.7329
2017-11-11,Average Tone,0.4412
2017-11-12,Average Tone,-0.0381
2017-11-13,Average Tone,-0.9745
2017-11-14,Average Tone,0.5209
2017-11-15,Average Tone,-0.8176
2017-11-16,Average Tone,0.595
2017-11-17,Average Tone,0.1177
2017-11-18,Average Tone,0.0371
