Date,Series,Value
2017-01-01,Average Tone,-1.3973
2017-01-02,Average Tone,-3.0107
2017-01-03,Average Tone,-3.4022
2017-01-04,Average Tone,-2.1828
2017-01-05,Average Tone,-3.5027
2017-01-06,Average Tone,-1.756
2017-01-07,Average Tone,-2.0096
2017-01-08,Average Tone,-1.6511
2017-01-09,Average Tone,-1.8767
2017-01-10,Average Tone,-2.1145
2017-01-11,Average Tone,-1.5005
2017-01-12,Average Tone,-2.4038
2017-01-13,Average Tone,-2.3307
2017-01-14,Average Tone,-1.1945
2017-01-15,Average Tone,-1.7278
2017-01-16,Average Tone,-2.3877
2017-01-17,Average Tone,-2.1111
2017-01-18,Average Tone,-1.5474
2017-01-19,Average Tone,-1.6289
2017-01-20,Average Tone,-1.6322
2017-01-21,Average Tone,-1.6619
2017-01-22,Average Tone,-2.479
2017-01-23,Average Tone,-1.6811
2017-01-24,Average Tone,-1.6182
2017-01-25,Average Tone,-1.8651
2017-01-26,Average Tone,-1.5697
2017-01-27,Average Tone,-1.6229
2017-01-28,Average Tone,-2.7901
2017-01-29,Average Tone,-1.8871
2017-01-30,Average Tone,-2.3525
2017-01-31,Average Tone,-1.311
2017-02-01,Average Tone,-1.3975
2017-02-02,Average Tone,-2.19
2017-02-03,Average Tone,-1.824
2017-02-04,Average Tone,-1.1782
2017-02-05,Average Tone,-2.0945
2017-02-06,Average Tone,-1.5475
2017-02-07,Average Tone,-1.6871
2017-02-08,Average Tone,-1.5374
2017-02-09,Average Tone,-2.0676
2017-02-10,Average Tone,-1.4296
2017-02-11,Average Tone,-1.0859
2017-02-12,Average Tone,-1.6244
2017-02-13,Average Tone,-1.8494
2017-02-14,Average Tone,-1.4112
2017-02-15,Average Tone,-1.8033
2017-02-16,Average Tone,-1.3725
2017-02-17,Average Tone,-1.6726
2017-02-18,Average Tone,-2.433
2017-02-19,Average Tone,-2.6673
2017-02-20,Average Tone,-2.2671
2017-02-21,Average Tone,-1.549
2017-02-22,Average Tone,-1.5161
2017-02-23,Average Tone,-2.5721
2017-02-24,Average Tone,-1.7982
2017-02-25,Average Tone,-1.2892
2017-02-26,Average Tone,-0.8183
2017-02-27,Average Tone,-1.6569
2017-02-28,Average Tone,-2.2009
2017-03-01,Average Tone,-1.2638
2017-03-02,Average Tone,-1.5172
2017-03-03,Average Tone,-1.9049
2017-03-04,Average Tone,-1.8379
2017-03-05,Average Tone,-1.2663
2017-03-06,Average Tone,-2.6666
2017-03-07,Average Tone,-2.0832
2017-03-08,Average Tone,-2.8016
2017-03-09,Average Tone,-1.7595
2017-03-10,Average Tone,-2.622
2017-03-11,Average Tone,-3.3774
2017-03-12,Average Tone,-2.2177
2017-03-13,Average Tone,-2.151
2017-03-14,Average Tone,-1.4897
2017-03-15,Average Tone,-2.0838
2017-03-16,Average Tone,-1.9375
2017-03-17,Average Tone,-2.6071
2017-03-18,Average Tone,-2.3464
2017-03-19,Average Tone,-1.8001
2017-03-20,Average Tone,-1.7307
2017-03-21,Average Tone,-1.6476
2017-03-22,Average Tone,-1.8414
2017-03-23,Average Tone,-2.2822
2017-03-24,Average Tone,-1.9456
2017-03-25,Average Tone,-2.0241
2017-03-26,Average Tone,-1.9673
2017-03-27,Average Tone,-1.3612
2017-03-28,Average Tone,-1.8335
2017-03-29,Average Tone,-1.5923
2017-03-30,Average Tone,-2.1047
2017-03-31,Average Tone,-1.6085
2017-04-01,Average Tone,-1.7553
2017-04-02,Average Tone,-1.8532
2017-04-03,Average Tone,-1.8883
2017-04-04,Average Tone,-3.7575
2017-04-05,Average Tone,-3.308
2017-04-06,Average Tone,-1.9226
2017-04-07,Average Tone,-4.6722
2017-04-08,Average Tone,-3.1527
2017-04-09,Average Tone,-2.5607
2017-04-10,Average Tone,-2.6637
2017-04-11,Average Tone,-2.6986
2017-04-12,Average Tone,-2.7074
2017-04-13,Average Tone,-1.8849
2017-04-14,Average Tone,-2.8629
2017-04-15,Average Tone,-2.3509
2017-04-16,Average Tone,-2.2054
2017-04-17,Average Tone,-2.329
2017-04-18,Average Tone,-1.8544
2017-04-19,Average Tone,-1.8417
2017-04-20,Average Tone,-2.6178
2017-04-21,Average Tone,-1.9725
2017-04-22,Average Tone,-1.6655
2017-04-23,Average Tone,-2.3531
2017-04-24,Average Tone,-2.1621
2017-04-25,Average Tone,-1.6296
2017-04-26,Average Tone,-1.8227
2017-04-27,Average Tone,-2.4148
2017-04-28,Average Tone,-3.0606
2017-04-29,Average Tone,-2.9807
2017-04-30,Average Tone,-1.9623
2017-05-01,Average Tone,-2.3944
2017-05-02,Average Tone,-2.135
2017-05-03,Average Tone,-2.3634
2017-05-04,Average Tone,-2.4001
2017-05-05,Average Tone,-2.1304
2017-05-06,Average Tone,-3.6133
2017-05-07,Average Tone,-2.2643
2017-05-08,Average Tone,-1.9089
2017-05-09,Average Tone,-2.4243
2017-05-10,Average Tone,-1.9282
2017-05-11,Average Tone,-1.2567
2017-05-12,Average Tone,-1.4624
2017-05-13,Average Tone,-1.5954
2017-05-14,Average Tone,-2.0717
2017-05-15,Average Tone,-2.9839
2017-05-16,Average Tone,-2.1031
2017-05-17,Average Tone,-1.8142
2017-05-18,Average Tone,-1.6805
2017-05-19,Average Tone,-1.7329
2017-05-20,Average Tone,-1.7692
2017-05-21,Average Tone,-1.6291
2017-05-22,Average Tone,-1.1797
2017-05-23,Average Tone,-1.6483
2017-05-24,Average Tone,-2.8653
2017-05-25,Average Tone,-2.106
2017-05-26,Average Tone,-2.0212
2017-05-27,Average Tone,-1.6497
2017-05-28,Average Tone,-2.7373
2017-05-29,Average Tone,-2.272
2017-05-30,Average Tone,-2.1271
2017-05-31,Average Tone,-2.3532
2017-06-01,Average Tone,-1.578
2017-06-02,Average Tone,-1.5603
2017-06-03,Average Tone,-2.8991
2017-06-04,Average Tone,-2.1499
2017-06-05,Average Tone,-2.1501
2017-06-06,Average Tone,-1.4772
2017-06-07,Average Tone,-1.5458
2017-06-08,Average Tone,-3.1343
2017-06-09,Average Tone,-2.8906
2017-06-10,Average Tone,-2.4478
2017-06-11,Average Tone,-2.1055
2017-06-12,Average Tone,-1.4091
2017-06-13,Average Tone,-1.6811
2017-06-14,Average Tone,-1.8369
2017-06-15,Average Tone,-1.6813
2017-06-16,Average Tone,-2.1826
2017-06-17,Average Tone,-0.9414
2017-06-18,Average Tone,-2.8726
2017-06-19,Average Tone,-1.2345
2017-06-20,Average Tone,-3.543
2017-06-21,Average Tone,-2.8155
2017-06-22,Average Tone,-2.0164
2017-06-23,Average Tone,-1.9911
2017-06-24,Average Tone,-1.4099
2017-06-25,Average Tone,-2.5311
2017-06-26,Average Tone,-1.7005
2017-06-27,Average Tone,-2.7638
2017-06-28,Average Tone,-2.017
2017-06-29,Average Tone,-1.8237
2017-06-30,Average Tone,-2.2787
2017-07-01,Average Tone,-2.4813
2017-07-02,Average Tone,-2.0117
2017-07-03,Average Tone,-2.3663
2017-07-04,Average Tone,-2.1505
2017-07-05,Average Tone,-2.0821
2017-07-06,Average Tone,-3.0522
2017-07-07,Average Tone,-2.0974
2017-07-08,Average Tone,-1.9204
2017-07-09,Average Tone,-2.5162
2017-07-10,Average Tone,-2.2348
2017-07-11,Average Tone,-1.7073
2017-07-12,Average Tone,-0.8577
2017-07-13,Average Tone,-1.8749
2017-07-14,Average Tone,-1.7464
2017-07-15,Average Tone,-2.6527
2017-07-16,Average Tone,-2.3694
2017-07-17,Average Tone,-2.2162
2017-07-18,Average Tone,-2.5361
2017-07-19,Average Tone,-2.7881
2017-07-20,Average Tone,-2.5098
2017-07-21,Average Tone,-1.6821
2017-07-22,Average Tone,-2.7247
2017-07-23,Average Tone,-2.0422
2017-07-24,Average Tone,-3.0722
2017-07-25,Average Tone,-2.6483
2017-07-26,Average Tone,-1.7327
2017-07-27,Average Tone,-1.2991
2017-07-28,Average Tone,-1.8795
2017-07-29,Average Tone,-2.2622
2017-07-30,Average Tone,-1.183
2017-07-31,Average Tone,-1.9699
2017-08-01,Average Tone,-1.6912
2017-08-02,Average Tone,-2.5207
2017-08-03,Average Tone,-2.6181
2017-08-04,Average Tone,-3.1598
2017-08-05,Average Tone,-3.6153
2017-08-06,Average Tone,-2.8885
2017-08-07,Average Tone,-2.7696
2017-08-08,Average Tone,-2.4901
2017-08-09,Average Tone,-3.4438
2017-08-10,Average Tone,-3.3477
2017-08-11,Average Tone,-3.1512
2017-08-12,Average Tone,-3.0533
2017-08-13,Average Tone,-2.5172
2017-08-14,Average Tone,-2.6463
2017-08-15,Average Tone,-2.1118
2017-08-16,Average Tone,-2.5119
2017-08-17,Average Tone,-3.1173
2017-08-18,Average Tone,-2.4412
2017-08-19,Average Tone,-2.3205
2017-08-20,Average Tone,-3.259
2017-08-21,Average Tone,-3.2002
2017-08-22,Average Tone,-2.996
2017-08-23,Average Tone,-3.2512
2017-08-24,Average Tone,-2.5049
2017-08-25,Average Tone,-3.0488
2017-08-26,Average Tone,-3.3158
2017-08-27,Average Tone,-2.5855
2017-08-28,Average Tone,-2.6126
2017-08-29,Average Tone,-3.0892
2017-08-30,Average Tone,-2.8117
2017-08-31,Average Tone,-1.8165
2017-09-01,Average Tone,-1.925
2017-09-02,Average Tone,-2.7349
2017-09-03,Average Tone,-2.015
2017-09-04,Average Tone,-2.662
2017-09-05,Average Tone,-3.1428
2017-09-06,Average Tone,-2.8249
2017-09-07,Average Tone,-2.763
2017-09-08,Average Tone,-2.6391
2017-09-09,Average Tone,-2.8901
2017-09-10,Average Tone,-2.1795
2017-09-11,Average Tone,-2.8964
2017-09-12,Average Tone,-3.2019
2017-09-13,Average Tone,-2.2164
2017-09-14,Average Tone,-2.2874
2017-09-15,Average Tone,-2.8037
2017-09-16,Average Tone,-2.0596
2017-09-17,Average Tone,-3.0096
2017-09-18,Average Tone,-2.6975
2017-09-19,Average Tone,-2.7448
2017-09-20,Average Tone,-3.0727
2017-09-21,Average Tone,-3.7379
2017-09-22,Average Tone,-3.6039
2017-09-23,Average Tone,-3.375
2017-09-24,Average Tone,-3.3136
2017-09-25,Average Tone,-2.7796
2017-09-26,Average Tone,-2.6882
2017-09-27,Average Tone,-2.6878
2017-09-28,Average Tone,-2.0754
2017-09-29,Average Tone,-3.401
2017-09-30,Average Tone,-2.4255
2017-10-01,Average Tone,-2.2523
2017-10-02,Average Tone,-2.2472
2017-10-03,Average Tone,-2.0341
2017-10-04,Average Tone,-2.2771
2017-10-05,Average Tone,-1.7419
2017-10-06,Average Tone,-2.0605
2017-10-07,Average Tone,-1.8613
2017-10-08,Average Tone,-2.6265
2017-10-09,Average Tone,-2.1672
2017-10-10,Average Tone,-1.9846
2017-10-11,Average Tone,-2.2575
2017-10-12,Average Tone,-1.8184
2017-10-13,Average Tone,-2.3151
2017-10-14,Average Tone,-2.7516
2017-10-15,Average Tone,-2.0203
2017-10-16,Average Tone,-1.6801
2017-10-17,Average Tone,-1.4605
2017-10-18,Average Tone,-1.113
2017-10-19,Average Tone,-1.9874
2017-10-20,Average Tone,-1.6943
2017-10-21,Average Tone,-2.2392
2017-10-22,Average Tone,-2.1026
2017-10-23,Average Tone,-2.1965
2017-10-24,Average Tone,-1.4389
2017-10-25,Average Tone,-1.2685
2017-10-26,Average Tone,-1.6552
2017-10-27,Average Tone,-2.0393
2017-10-28,Average Tone,-1.5611
2017-10-29,Average Tone,-1.6463
2017-10-30,Average Tone,-1.5858
