Date,Series,Value
2017-01-01,Average Tone,-1.0011
2017-01-02,Average Tone,-1.1709
2017-01-03,Average Tone,-1.1146
2017-01-04,Average Tone,-1.1253
2017-01-05,Average Tone,-1.2504
2017-01-06,Average Tone,-0.8733
2017-01-07,Average Tone,-1.0512
2017-01-08,Average Tone,-1.6968
2017-01-09,Average Tone,-0.9559
2017-01-10,Average Tone,-0.845
2017-01-11,Average Tone,-0.8494
2017-01-12,Average Tone,-1.4924
2017-01-13,Average Tone,-1.0737
2017-01-14,Average Tone,-1.1067
2017-01-15,Average Tone,-1.3489
2017-01-16,Average Tone,-0.9077
2017-01-17,Average Tone,-1.1852
2017-01-18,Average Tone,-0.8546
2017-01-19,Average Tone,-0.5854
2017-01-20,Average Tone,-0.899
2017-01-21,Average Tone,-1.2987
2017-01-22,Average Tone,-1.4886
2017-01-23,Average Tone,-0.9882
2017-01-24,Average Tone,-0.5016
2017-01-25,Average Tone,-0.6949
2017-01-26,Average Tone,-0.7983
2017-01-27,Average Tone,-0.5447
2017-01-28,Average Tone,-0.5885
2017-01-29,Average Tone,-1.2421
2017-01-30,Average Tone,-0.9332
2017-01-31,Average Tone,-0.7
2017-02-01,Average Tone,-1.0329
2017-02-02,Average Tone,-0.7686
2017-02-03,Average Tone,-0.8709
2017-02-04,Average Tone,-0.9039
2017-02-05,Average Tone,-1.2497
2017-02-06,Average Tone,-0.5009
2017-02-07,Average Tone,-0.7033
2017-02-08,Average Tone,-0.5711
2017-02-09,Average Tone,-0.5078
2017-02-10,Average Tone,-0.5726
2017-02-11,Average Tone,-0.8842
2017-02-12,Average Tone,-0.9425
2017-02-13,Average Tone,-1.2395
2017-02-14,Average Tone,-1.0102
2017-02-15,Average Tone,-1.1571
2017-02-16,Average Tone,-0.9569
2017-02-17,Average Tone,-0.8752
2017-02-18,Average Tone,-1.8352
2017-02-19,Average Tone,-1.1532
2017-02-20,Average Tone,-0.8936
2017-02-21,Average Tone,-0.7045
2017-02-22,Average Tone,-1.1177
2017-02-23,Average Tone,-0.5679
2017-02-24,Average Tone,-0.7532
2017-02-25,Average Tone,-0.6828
2017-02-26,Average Tone,-0.4305
2017-02-27,Average Tone,-0.1679
2017-02-28,Average Tone,-1.1464
2017-03-01,Average Tone,-0.6353
2017-03-02,Average Tone,-0.6305
2017-03-03,Average Tone,-1.2002
2017-03-04,Average Tone,-2.0561
2017-03-05,Average Tone,-1.1003
2017-03-06,Average Tone,-1.3237
2017-03-07,Average Tone,-1.2273
2017-03-08,Average Tone,-1.24
2017-03-09,Average Tone,-0.5412
2017-03-10,Average Tone,-1.5328
2017-03-11,Average Tone,-1.458
2017-03-12,Average Tone,-1.6132
2017-03-13,Average Tone,-0.8632
2017-03-14,Average Tone,-0.7908
2017-03-15,Average Tone,-0.958
2017-03-16,Average Tone,-0.4855
2017-03-17,Average Tone,-0.9175
2017-03-18,Average Tone,-0.9209
2017-03-19,Average Tone,-0.4323
2017-03-20,Average Tone,-0.6323
2017-03-21,Average Tone,-0.546
2017-03-22,Average Tone,-1.021
2017-03-23,Average Tone,-1.3689
2017-03-24,Average Tone,-0.8873
2017-03-25,Average Tone,-0.8195
2017-03-26,Average Tone,-1.3596
2017-03-27,Average Tone,-0.7983
2017-03-28,Average Tone,-1.0309
2017-03-29,Average Tone,-0.7841
2017-03-30,Average Tone,-0.7938
2017-03-31,Average Tone,-1.2252
2017-04-01,Average Tone,-0.6325
2017-04-02,Average Tone,-1.0034
2017-04-03,Average Tone,-0.731
2017-04-04,Average Tone,-1.3631
2017-04-05,Average Tone,-1.4473
2017-04-06,Average Tone,-1.3237
2017-04-07,Average Tone,-2.9784
2017-04-08,Average Tone,-1.2191
2017-04-09,Average Tone,-0.9032
2017-04-10,Average Tone,-1.0268
2017-04-11,Average Tone,-1.8137
2017-04-12,Average Tone,-1.8901
2017-04-13,Average Tone,-1.1611
2017-04-14,Average Tone,-1.6796
2017-04-15,Average Tone,-1.6151
2017-04-16,Average Tone,-1.6505
2017-04-17,Average Tone,-1.3417
2017-04-18,Average Tone,-0.7935
2017-04-19,Average Tone,-0.8513
2017-04-20,Average Tone,-1.0444
2017-04-21,Average Tone,-0.8028
2017-04-22,Average Tone,-0.7077
2017-04-23,Average Tone,-1.3711
2017-04-24,Average Tone,-1.4983
2017-04-25,Average Tone,-0.8683
2017-04-26,Average Tone,-0.8794
2017-04-27,Average Tone,-0.999
2017-04-28,Average Tone,-1.5661
2017-04-29,Average Tone,-2.0405
2017-04-30,Average Tone,-1.6525
2017-05-01,Average Tone,-1.4487
2017-05-02,Average Tone,-1.0258
2017-05-03,Average Tone,-1.0746
2017-05-04,Average Tone,-1.0442
2017-05-05,Average Tone,-1.005
2017-05-06,Average Tone,-0.9767
2017-05-07,Average Tone,-0.7768
2017-05-08,Average Tone,-1.1795
2017-05-09,Average Tone,-0.9069
2017-05-10,Average Tone,-0.7901
2017-05-11,Average Tone,-0.8683
2017-05-12,Average Tone,-0.5496
2017-05-13,Average Tone,-0.9793
2017-05-14,Average Tone,-1.5515
2017-05-15,Average Tone,-1.8828
2017-05-16,Average Tone,-1.2945
2017-05-17,Average Tone,-0.5673
2017-05-18,Average Tone,-0.7847
2017-05-19,Average Tone,-0.8409
2017-05-20,Average Tone,-1.1972
2017-05-21,Average Tone,-1.2713
2017-05-22,Average Tone,-0.4842
2017-05-23,Average Tone,-0.2718
2017-05-24,Average Tone,-0.9685
2017-05-25,Average Tone,-0.7275
2017-05-26,Average Tone,-0.8152
2017-05-27,Average Tone,-0.8782
2017-05-28,Average Tone,-0.9099
2017-05-29,Average Tone,-1.2413
2017-05-30,Average Tone,-0.741
2017-05-31,Average Tone,-1.4754
2017-06-01,Average Tone,-0.8952
2017-06-02,Average Tone,-0.6869
2017-06-03,Average Tone,-1.0992
2017-06-04,Average Tone,-1.1196
2017-06-05,Average Tone,-0.9693
2017-06-06,Average Tone,-0.7611
2017-06-07,Average Tone,-0.9076
2017-06-08,Average Tone,-1.0061
2017-06-09,Average Tone,-0.7727
2017-06-10,Average Tone,-0.9526
2017-06-11,Average Tone,-0.826
2017-06-12,Average Tone,-0.8025
2017-06-13,Average Tone,-0.5006
2017-06-14,Average Tone,-0.7174
2017-06-15,Average Tone,-1.0286
2017-06-16,Average Tone,-1.1431
2017-06-17,Average Tone,-0.6875
2017-06-18,Average Tone,-0.7038
2017-06-19,Average Tone,-0.6607
2017-06-20,Average Tone,-1.7453
2017-06-21,Average Tone,-0.9306
2017-06-22,Average Tone,-0.4043
2017-06-23,Average Tone,-1.0335
2017-06-24,Average Tone,-1.4572
2017-06-25,Average Tone,-1.2133
2017-06-26,Average Tone,-1.182
2017-06-27,Average Tone,-1.3182
2017-06-28,Average Tone,-1.2514
2017-06-29,Average Tone,-0.9793
2017-06-30,Average Tone,-0.9874
2017-07-01,Average Tone,-2.2627
2017-07-02,Average Tone,-1.511
2017-07-03,Average Tone,-1.1987
2017-07-04,Average Tone,-1.7555
2017-07-05,Average Tone,-1.2681
2017-07-06,Average Tone,-1.6674
2017-07-07,Average Tone,-1.5748
2017-07-08,Average Tone,-1.3599
2017-07-09,Average Tone,-1.1171
2017-07-10,Average Tone,-0.6438
2017-07-11,Average Tone,-0.4913
2017-07-12,Average Tone,-0.5388
2017-07-13,Average Tone,-0.9773
2017-07-14,Average Tone,-1.2457
2017-07-15,Average Tone,-1.1778
2017-07-16,Average Tone,-1.7004
2017-07-17,Average Tone,-1.1433
2017-07-18,Average Tone,-1.0219
2017-07-19,Average Tone,-0.9368
2017-07-20,Average Tone,-0.8872
2017-07-21,Average Tone,-0.8525
2017-07-22,Average Tone,-0.9525
2017-07-23,Average Tone,-1.3205
2017-07-24,Average Tone,-1.1172
2017-07-25,Average Tone,-0.7125
2017-07-26,Average Tone,-0.6793
2017-07-27,Average Tone,-0.293
2017-07-28,Average Tone,-0.9954
2017-07-29,Average Tone,-1.6673
2017-07-30,Average Tone,-1.0293
2017-07-31,Average Tone,-0.7996
2017-08-01,Average Tone,-0.6476
2017-08-02,Average Tone,-1.0495
2017-08-03,Average Tone,-1.1166
2017-08-04,Average Tone,-1.3694
2017-08-05,Average Tone,-2.3906
2017-08-06,Average Tone,-2.3871
