Date,Series,Value
2017-01-01,Average Tone,-1.5622
2017-01-02,Average Tone,-1.6527
2017-01-03,Average Tone,-0.8783
2017-01-04,Average Tone,-1.0397
2017-01-05,Average Tone,-1.189
2017-01-06,Average Tone,-1.2168
2017-01-07,Average Tone,-1.1105
2017-01-08,Average Tone,-1.0599
2017-01-09,Average Tone,-0.7362
2017-01-10,Average Tone,-1.384
2017-01-11,Average Tone,-1.2312
2017-01-12,Average Tone,-2.0032
2017-01-13,Average Tone,-1.4942
2017-01-14,Average Tone,-0.3974
2017-01-15,Average Tone,-1.7335
2017-01-16,Average Tone,-1.4236
2017-01-17,Average Tone,-1.0802
2017-01-18,Average Tone,-0.7318
2017-01-19,Average Tone,-1.2116
2017-01-20,Average Tone,-1.474
2017-01-21,Average Tone,-1.346
2017-01-22,Average Tone,-2.0571
2017-01-23,Average Tone,-1.3448
2017-01-24,Average Tone,-0.8136
2017-01-25,Average Tone,-0.9456
2017-01-26,Average Tone,-0.9766
2017-01-27,Average Tone,-1.4083
2017-01-28,Average Tone,-1.2088
2017-01-29,Average Tone,-1.1815
2017-01-30,Average Tone,-2.1141
2017-01-31,Average Tone,-1.352
2017-02-01,Average Tone,-1.4604
2017-02-02,Average Tone,-1.5284
2017-02-03,Average Tone,-0.9897
2017-02-04,Average Tone,-1.8992
2017-02-05,Average Tone,-1.5277
2017-02-06,Average Tone,-1.0306
2017-02-07,Average Tone,-1.5061
2017-02-08,Average Tone,-1.3441
2017-02-09,Average Tone,-1.0468
2017-02-10,Average Tone,-0.8926
2017-02-11,Average Tone,-0.8576
2017-02-12,Average Tone,-1.0427
2017-02-13,Average Tone,-1.4043
2017-02-14,Average Tone,-1.3348
2017-02-15,Average Tone,-0.6236
2017-02-16,Average Tone,-1.2243
2017-02-17,Average Tone,-0.602
2017-02-18,Average Tone,-1.9905
2017-02-19,Average Tone,-2.8365
2017-02-20,Average Tone,-1.0951
2017-02-21,Average Tone,-0.6144
2017-02-22,Average Tone,-0.8499
2017-02-23,Average Tone,-0.4393
2017-02-24,Average Tone,-1.5858
2017-02-25,Average Tone,-1.3387
2017-02-26,Average Tone,-0.1142
