Date,Series,Value
2017-01-01,Volume Intensity,0.8885
2017-01-02,Volume Intensity,0.6657
2017-01-03,Volume Intensity,1.1103
2017-01-04,Volume Intensity,1.0042
2017-01-05,Volume Intensity,1.0733
2017-01-06,Volume Intensity,1.0501
2017-01-07,Volume Intensity,0.8191
2017-01-08,Volume Intensity,0.7304
2017-01-09,Volume Intensity,1.0988
2017-01-10,Volume Intensity,0.9675
2017-01-11,Volume Intensity,1.0183
2017-01-12,Volume Intensity,0.9703
2017-01-13,Volume Intensity,0.9536
2017-01-14,Volume Intensity,0.7535
2017-01-15,Volume Intensity,0.6918
2017-01-16,Volume Intensity,0.8205
2017-01-17,Volume Intensity,1.0866
2017-01-18,Volume Intensity,1.0068
2017-01-19,Volume Intensity,0.8475
2017-01-20,Volume Intensity,1.0151
2017-01-21,Volume Intensity,0.7603
2017-01-22,Volume Intensity,0.6511
2017-01-23,Volume Intensity,1.106
2017-01-24,Volume Intensity,0.98
2017-01-25,Volume Intensity,0.8375
2017-01-26,Volume Intensity,0.9095
2017-01-27,Volume Intensity,0.9281
2017-01-28,Volume Intensity,0.6415
2017-01-29,Volume Intensity,0.6561
2017-01-30,Volume Intensity,0.7516
2017-01-31,Volume Intensity,0.6712
2017-02-01,Volume Intensity,0.9177
2017-02-02,Volume Intensity,0.764
2017-02-03,Volume Intensity,0.7856
2017-02-04,Volume Intensity,0.7105
2017-02-05,Volume Intensity,0.4479
2017-02-06,Volume Intensity,0.7449
2017-02-07,Volume Intensity,0.7651
2017-02-08,Volume Intensity,0.7075
2017-02-09,Volume Intensity,0.8642
2017-02-10,Volume Intensity,1.1309
2017-02-11,Volume Intensity,0.6656
2017-02-12,Volume Intensity,0.4458
2017-02-13,Volume Intensity,0.8725
2017-02-14,Volume Intensity,0.9055
2017-02-15,Volume Intensity,0.9134
2017-02-16,Volume Intensity,0.9042
2017-02-17,Volume Intensity,0.8131
2017-02-18,Volume Intensity,0.4876
2017-02-19,Volume Intensity,0.6096
2017-02-20,Volume Intensity,0.8265
2017-02-21,Volume Intensity,0.8147
2017-02-22,Volume Intensity,0.6807
